t,reward,dopamine,serotonin,rolling_acc,W_mean,choice,truth,pA,pB,score_A,score_B
131,1.0,0.31723450486135274,0.307128317283209,0.64,0.29309553590160736,B,B,0.5218434293506068,0.47815657064939326,1.693714683300219,1.6062853166997808
132,-0.5,0.27637277961828505,0.2990570341103769,0.63,0.2930524110704084,A,B,0.828663144603602,0.17133685539639798,2.4380910998761007,0.8619089001238992
133,-0.5,0.23755414063737076,0.2910664637692731,0.62,0.29301551758297917,A,B,0.8283488721487573,0.17165112785124262,2.436985159146349,0.8630148408536511
134,-0.5,0.20067643360550222,0.28315579913158034,0.61,0.2929847908540131,A,B,0.7212564621510562,0.27874353784894385,2.125351318768047,1.1746486812319532
135,-0.5,0.1656426119252271,0.27532424114026455,0.6,0.2929593588934531,A,B,0.7208163956423785,0.27918360435762146,2.1242574034853465,1.1757425965146535
136,-0.5,0.13236048132896575,0.2675709987288619,0.59,0.2929387876469673,A,B,0.5201320147325196,0.4798679852674804,1.6902858092295516,1.6097141907704486
137,-0.5,0.10074245726251746,0.2598952887415733,0.58,0.29292407273349685,A,B,0.8271046097184148,0.17289539028158524,2.4326222244407667,0.8673777755592332
138,-0.5,0.07070533439939158,0.25229633585415756,0.58,0.2929133247992646,A,B,0.8267969832665399,0.17320301673346,2.4315473827543905,0.8684526172456094
139,1.0,0.11717006767942201,0.259773372495616,0.59,0.2928946112103848,A,A,0.13333802851839913,0.8666619714816008,0.7141192269511561,2.585880773048844
140,-0.5,0.0863115642954509,0.25217563877065985,0.58,0.29288047668358186,B,A,0.13358115018600267,0.8664188498139974,0.7151703538981418,2.5848296461018583
141,-0.5,0.056995986080678344,0.24465388238295324,0.57,0.2928708800228654,B,A,0.13333409959655199,0.866665900403448,0.7141022271031466,2.5858977728968533
142,-0.5,0.02914618677664442,0.2372073435591237,0.56,0.29286641770125393,B,A,0.13308898756519463,0.8669110124348055,0.7130408254480498,2.58695917455195
143,-0.5,0.0026888774378121955,0.22983527012353247,0.55,0.29286598817239995,B,A,0.1328458315508249,0.867154168449175,0.7119862576747433,2.5880137423252565
144,-0.5,-0.022445566434078416,0.22253691742229714,0.54,0.29286966158162103,B,A,0.13260464754315981,0.8673953524568402,0.7109386265559136,2.5890613734440864
145,1.0,0.02867671188762551,0.23031154824807418,0.54,0.29286504003347047,A,A,0.13236545010087394,0.867634549899126,0.7098980290035724,2.5901019709964275
146,-0.5,0.002242876293244229,0.22300843276559343,0.53,0.29286465922975946,B,A,0.13262024272713777,0.8673797572728623,0.7110064161506976,2.5889935838493026
147,-0.5,-0.022869267521417984,0.2157783484379375,0.52,0.2928681895074696,B,A,0.13238091592194717,0.8676190840780528,0.7099653592195199,2.59003464078048
148,-0.5,-0.046725804145347084,0.20862056495355813,0.52,0.2928754319807554,B,A,0.1321435880350961,0.8678564119649039,0.7089314212727474,2.5910685787272527
149,-0.5,-0.06938951393807974,0.20153435930402255,0.51,0.29288627932973416,B,A,0.8023033193979865,0.1976966806020135,2.3503764000719167,0.9496235999280829
150,1.0,-0.015920038241175744,0.20951901571098233,0.51,0.2928888172098081,A,A,0.8019797253061879,0.198020274693812,2.349356952242174,0.9506430477578258
151,-0.5,-0.04012403632911696,0.2024238255538725,0.5,0.2928955183960691,B,A,0.8023442523628178,0.1976557476371822,2.350505444460853,0.9494945555391467
152,1.0,0.011882165487338892,0.21039958729833377,0.5,0.2928936592952744,A,A,0.802020415712836,0.19797958428716397,2.3494850739129887,0.9505149260870109
153,-0.5,-0.013711942787028055,0.20329559142535042,0.49,0.29289582383063417,B,A,0.8023843498312763,0.1976156501687237,2.350631874411485,0.9493681255885147
154,1.0,0.03697365435232335,0.21126263551109692,0.49,0.29288979626775147,A,A,0.8020602762485638,0.19793972375143623,2.3496106018048044,0.9503893981951954
155,1.0,0.08512497163470718,0.21915000915598595,0.49,0.2928748963652624,A,A,0.8024236292085094,0.19757637079149068,2.3507557436158053,0.9492442563841945
156,-0.5,0.05586872305297182,0.2119585090644261,0.48,0.29286536611727915,B,A,0.33306900956611973,0.6669309904338803,1.3028315632496048,1.9971684367503948
157,1.0,0.10307528690032323,0.21983892397378185,0.48,0.29284724027501974,A,A,0.4742650824076783,0.5257349175923217,1.5984846421018009,1.701515357898199
158,1.0,0.14792152255530708,0.22764053473404405,0.48,0.292822214372309,A,A,0.8028128628281186,0.19718713717188144,2.3519842132661752,0.9480157867338244
159,1.0,0.1905254464275417,0.23536412938670362,0.48,0.292790330795412,A,A,0.8254866661252145,0.1745133338747855,2.426985980066758,0.873014019933242
160,1.0,0.2309991741061646,0.2430104880928366,0.49,0.2927512066315731,A,A,0.8258029642508251,0.174197035749175,2.4280845775438467,0.8719154224561535
161,1.0,0.26944921540085637,0.25058038321190823,0.49,0.29270746659643015,A,A,0.7754593888181612,0.2245406111818388,2.269699513275276,1.0303004867247243
162,1.0,0.30597675463081353,0.2580745793797891,0.49,0.29265862639088636,A,A,0.6077646089604802,0.39223539103951977,1.8689627518855094,1.4310372481144906
163,1.0,0.34067791689927285,0.2654938335859912,0.49,0.2926044218784363,A,A,0.8267237718063255,0.1732762281936745,2.4312918055029864,0.8687081944970138
164,1.0,0.37364402105430916,0.27283889525013133,0.49,0.2925433778246864,A,A,0.8270215242703489,0.1729784757296511,2.4323317763022545,0.8676682236977455
165,-0.5,0.3299618200015937,0.26511050629763,0.48,0.29249272368437,B,A,0.6092511592796821,0.39074884072031796,1.8720827964054645,1.4279172035945353
166,1.0,0.36346372900151397,0.27245940123465373,0.48,0.2924323898347896,A,A,0.8270061781295932,0.17299382187040666,2.4322781416994963,0.8677218583005039
167,1.0,0.39529054255143825,0.2797348072223072,0.48,0.29236428083381516,A,A,0.8272996621245323,0.1727003378754678,2.4333045181039323,0.8666954818960678
168,1.0,0.4255260154238663,0.2869374591500841,0.48,0.29229273808838047,A,A,0.8275886977503921,0.1724113022496079,2.434316687373836,0.8656833126261639
169,1.0,0.45424971465267294,0.2940680845585833,0.48,0.29221603495432535,A,A,0.8434859718256805,0.1565140281743194,2.4921988140380003,0.8078011859619997
170,1.0,0.48153722892003925,0.30112740371299745,0.49,0.2921359092434691,A,A,0.8437456516565297,0.1562543483434703,2.4931829854768544,0.8068170145231458
171,-0.5,0.43246036747403727,0.2931161296758675,0.48,0.29206529620969346,B,A,0.8440013502009462,0.15599864979905384,2.4941533711405106,0.8058466288594895
172,1.0,0.46083734910033536,0.3001849683791088,0.49,0.29198788202318215,A,A,0.8437110647621675,0.15628893523783244,2.4930518262789305,0.8069481737210692
